rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_equalized_odds_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__equalized_odds_ratio,eval__by_group__male_single,eval__by_group__male_mar/wid,eval__by_group__male_div/sep,eval__by_group__female_div/dep/mar,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
FunctionTransformer,,,mitigation_features_normalization_rebalancing_classification,,,,,PowerTransformer,LFR_wrapper,1.0,200,0.1,,SelectKBest,,8,131.9246380329132,success,0.009580230712890625,1.0_0.75_1.0_1.0_1.0,0.5_0.57_0.5_0.5_0.5,12.948795938491822,0.95,0.97,1.0,0.95,0.96,0.5138095238095237,1746732632.9836903,distance,KNeighborsClassifier,,,20,,,,euclidean,,,,,,,,
SMOTE,,5,features_mitigation_normalization_rebalancing_classification,,,,,PowerTransformer,LFR_wrapper,0.1,10,0.5,,FunctionTransformer,,,44.65489149093628,fail,0.005937004089355468,,,8.901082181930542,-inf,-inf,-inf,-inf,-inf,-inf,1746732500.986781,,MLPClassifier,adam,5,,5,,,,,,,invscaling,,,0.01,logistic
NearMiss,4,,mitigation_features_rebalancing_normalization_classification,,True,,False,RobustScaler,CorrelationRemover,,,,1.0,FunctionTransformer,,,1.693681001663208,success,0.004161262512207031,0.0_0.0_0.0_0.0_0.0,0.63_0.63_0.62_0.6_0.6,0.3063544750213623,0.0,0.75,0.48,0.0,0.89,0.615952380952381,1746732456.2767746,,MLPClassifier,adam,10,,1,,,,,,,constant,,,1e-05,logistic
SMOTE,,5,rebalancing_mitigation_normalization_features_classification,,,,,MinMaxScaler,CorrelationRemover,,,,1.0,PCA,7,,3.6576931476593018,success,0.004561948776245117,0.0_0.54_0.45_0.72_0.42,0.62_0.6_0.67_0.66_0.62,0.6959990978240966,0.4260136853886854,0.81,0.64,0.62,0.69,0.6342857142857143,1746732454.5267925,,MLPClassifier,lbfgs,5,,20,,,,,,,constant,,,1e-05,logistic
SMOTE,,7,rebalancing_features_mitigation_normalization_classification,,,,,PowerTransformer,LFR_wrapper,0.5,50,1.0,,FunctionTransformer,,,73.83030891418457,success,0.09318695068359376,0.86_0.75_0.9_0.71_1.0,0.54_0.55_0.51_0.45_0.5,14.53985366821289,0.8444164456233422,0.87,1.0,0.89,0.91,0.5111904761904762,1746732450.8139966,uniform,KNeighborsClassifier,,,7,,,,minkowski,,,,,,,,
SMOTE,,6,mitigation_normalization_features_rebalancing_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.75,SelectKBest,,2,0.22943902015686035,success,0.004505634307861328,0.21_0.27_0.26_0.0_0.0,0.62_0.56_0.58_0.57_0.67,0.007358264923095703,0.14824810606060607,0.91,0.33,0.42,0.79,0.5997619047619047,1746732376.931947,distance,KNeighborsClassifier,,,11,,,,manhattan,,,,,,,,
FunctionTransformer,,,mitigation_normalization_features_rebalancing_classification,,,,,MinMaxScaler,CorrelationRemover,,,,1.0,FunctionTransformer,,,1.3226346969604492,success,0.1195533275604248,0.6_0.62_0.62_0.67_0.68,0.61_0.67_0.59_0.58_0.56,0.005399894714355469,0.6396969696969697,0.76,0.86,0.7,0.78,0.6019047619047619,1746732376.6492767,distance,KNeighborsClassifier,,,12,,,,euclidean,,,,,,,,
FunctionTransformer,,,mitigation_normalization_rebalancing_features_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.25,FunctionTransformer,,,1.7118217945098877,success,0.006209087371826172,0.38_0.49_0.57_0.42_0.56,0.58_0.67_0.65_0.67_0.63,0.3015068531036377,0.4852544720743387,0.67,0.66,0.64,0.62,0.6395238095238095,1746732375.2792506,,MLPClassifier,lbfgs,25,,10,,,,,,,invscaling,,,1e-05,relu
SMOTE,,8,mitigation_normalization_features_rebalancing_classification,,False,,True,RobustScaler,CorrelationRemover,,,,1.0,FunctionTransformer,,,1.3819360733032227,success,0.004300308227539062,0.0_0.36_0.31_0.0_0.0,0.66_0.72_0.67_0.62_0.64,0.23463702201843262,0.13392857142857142,0.6,0.57,0.31,0.63,0.6640476190476191,1746732372.4269476,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,logistic
SMOTE,,6,mitigation_rebalancing_normalization_features_classification,,True,,True,RobustScaler,LFR_wrapper,0.1,100,1.0,,SelectKBest,,6,154.11370968818665,fail,0.007107305526733399,nan_0.0_0.66_0.39_0.0,0.5_0.42_0.54_0.48_0.5,16.783617877960204,-inf,0.5,0.49,0.56,0.71,0.49000000000000005,1746732370.9995506,,MLPClassifier,sgd,5,,1,,,,,,,constant,,,0.0001,logistic
SMOTE,,5,mitigation_normalization_features_rebalancing_classification,,,,,MinMaxScaler,LFR_wrapper,0.5,100,0.5,,PCA,4,,65.57115769386292,success,0.008311700820922852,0.78_0.5_0.62_0.59_0.42,0.56_0.58_0.54_0.56_0.53,13.07073359489441,0.5826454197143852,0.63,0.86,0.68,0.77,0.5528571428571428,1746732216.8354895,,MLPClassifier,adam,50,,10,,,,,,,adaptive,,,0.01,tanh
FunctionTransformer,,,rebalancing_mitigation_normalization_features_classification,,True,,True,RobustScaler,LFR_wrapper,0.1,10,0.1,,FunctionTransformer,,,51.36594581604004,success,0.007547807693481445,1.0_1.0_1.0_1.0_0.79,0.5_0.5_0.5_0.5_0.52,10.231297302246094,0.9586206896551724,0.96,1.0,0.98,0.97,0.5042857142857142,1746732151.2117844,,MLPClassifier,adam,25,,5,,,,,,,invscaling,,,0.001,logistic
